(at obj11 pos21), (at obj23 pos11), (at obj88 pos22), (at obj00 pos21)
(at obj12 pos23), (at obj21 pos13), (at obj44 pos21), (at obj55 pos11)
(at obj13 pos21), (at obj22 pos23), (at obj55 pos13), (at obj44 pos22)
(at obj11 pos23), (at obj21 pos12), (at obj66 pos22), (at obj00 pos11)
(at obj12 pos22), (at obj22 pos12), (at obj44 pos21), (at obj88 pos22)
(at obj13 pos22), (at obj23 pos12), (at obj55 pos21), (at obj77 pos23)
(at obj11 pos23), (at obj22 pos13), (at obj66 pos22), (at obj55 pos11)
(at obj12 pos22), (at obj21 pos13), (at obj44 pos21), (at obj99 pos12)
(at obj13 pos22), (at obj23 pos23), (at obj77 pos11), (at obj00 pos12)
(at obj11 pos23), (at obj21 pos12), (at obj66 pos13), (at obj55 pos21)
(at obj66 pos22), (at obj22 pos13), (at obj44 pos21), (at obj99 pos12)
(at obj44 pos21), (at obj23 pos13), (at obj55 pos22), (at obj77 pos12)
